Operating_Accounts_00Id,Operating_Accounts_00Description,Operating_Accounts_00ParentId,VersionVersion,VersionCategory,VersionType,Operating_RegionsId,Operating_RegionsDescription,Operating_Product_GroupsId,Operating_Product_GroupsDescription,DateYear,DateQuarter,DateMonth,DateDAY,Value,ValueUnit
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,#,No Product,2016,20161,201601,1,1600190763,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,#,No Product,2016,20161,201602,1,2068251718,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,#,No Product,2016,20161,201603,1,1749920420,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,#,No Product,2016,20162,201604,1,1454296825,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,#,No Product,2016,20162,201605,1,2200946015,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,#,No Product,2016,20162,201606,1,1931396060,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,#,No Product,2016,20163,201607,1,2005337886,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,#,No Product,2016,20163,201608,1,2809041332,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,#,No Product,2016,20163,201609,1,3126515676,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,#,No Product,2016,20164,201610,1,2168480596,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,#,No Product,2016,20164,201611,1,2161514673,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,#,No Product,2016,20164,201612,1,2545145053,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,#,No Product,2017,20171,201701,1,1536790020,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,#,No Product,2017,20171,201702,1,2036269191,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,#,No Product,2017,20171,201703,1,1836315555,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,#,No Product,2017,20172,201704,1,1764413835,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,#,No Product,2017,20172,201705,1,2169139026,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,#,No Product,2017,20172,201706,1,2097143720,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0001,Athletic Shirts,2016,20161,201601,1,-49738690.91,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0001,Athletic Shirts,2016,20161,201602,1,-28920887.67,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0001,Athletic Shirts,2016,20161,201603,1,-93195081.11,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0001,Athletic Shirts,2016,20162,201604,1,-33110429.39,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0001,Athletic Shirts,2016,20162,201605,1,-23577829.6,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0001,Athletic Shirts,2016,20162,201606,1,-37212372.63,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0001,Athletic Shirts,2016,20163,201607,1,-43177033.92,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0001,Athletic Shirts,2016,20163,201608,1,-44405954.88,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0001,Athletic Shirts,2016,20163,201609,1,-118531479.95,USD
